bldg_name,district,price,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m
Cosco Tower,SHEUNG WAN,766703,15647,766703,49,22.2856235,114.1529485,10.0,10.0,20.0
Central Plaza,WAN CHAI,764390,13898,764390,55,22.2799097,114.1737282,0.0,0.0,0.0
Nexxus Building,CENTRAL,762525,10167,762525,75,22.2842258,114.1565212,3.0,7.0,20.0
Fairmont House,CENTRAL,762507,9641,762507,79,22.2799508,114.1626534,1.0,2.0,10.0
China Resources Building,WAN CHAI,762300,13860,762300,55,22.2799943,114.1750916,0.0,0.0,5.0
"Peninsula Office Tower, The",TSIM SHA TSUI,762280,11210,762280,68,22.295381,114.171764,2.0,6.0,20.0
"Peninsula Office Tower, The",TSIM SHA TSUI,762280,11210,762280,68,22.295381,114.171764,2.0,6.0,20.0
Central Crossing,CENTRAL,760104,10557,760104,72,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,760104,10557,760104,72,22.283431,114.1541085,11.0,13.0,20.0
Hopewell Centre,WAN CHAI,758688,15806,758688,48,22.2746386,114.1717253,3.0,10.0,20.0
Central Crossing,CENTRAL,738990,10557,738990,70,22.283431,114.1541085,11.0,13.0,20.0
Harcourt House,WAN CHAI,736890,17545,736890,42,22.2790727,114.1698835,0.0,0.0,10.0
"Peninsula Office Tower, The",TSIM SHA TSUI,728650,11210,728650,65,22.295381,114.171764,2.0,6.0,20.0
PCCW Tower,QUARRY BAY,711250,14225,711250,50,22.2871707,114.2121915,6.0,8.0,20.0
Central Crossing,CENTRAL,711130,10159,711130,70,22.283431,114.1541085,11.0,13.0,20.0
Central Tower,CENTRAL,710820,7898,710820,90,22.2811334,114.1568012,15.0,14.0,20.0
Cosco Tower,SHEUNG WAN,710820,19745,710820,36,22.2856235,114.1529485,10.0,10.0,20.0
PCCW Tower,QUARRY BAY,707250,14145,707250,50,22.2871707,114.2121915,6.0,8.0,20.0
Harcourt House,WAN CHAI,705894,16807,705894,42,22.2790727,114.1698835,0.0,0.0,10.0
Central Plaza,WAN CHAI,703820,13535,703820,52,22.2799097,114.1737282,0.0,0.0,0.0
Tower 535,CAUSEWAY BAY,702720,11712,702720,60,22.2813782,114.1839728,3.0,20.0,20.0
Punfet Building,MONG KOK / TAI KOK TSUI,699197,10148,699197,68,22.3198474,114.1620857,0.0,6.0,20.0
Peninsula Centre,TSIM SHA TSUI,693680,30160,693680,23,22.2990655,114.177277,0.0,3.0,20.0
PCCW Tower,QUARRY BAY,691750,13835,691750,50,22.2871707,114.2121915,6.0,8.0,20.0
Central Crossing,CENTRAL,688935,10599,688935,65,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,688935,10599,688935,65,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,688935,10599,688935,65,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,688935,10599,688935,65,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,688935,10599,688935,65,22.283431,114.1541085,11.0,13.0,20.0
Three Garden Road - Champion Tower,CENTRAL,682527,7339,682527,93,22.2784355,114.160606,1.0,4.0,10.0
Millennium City 1 - Tower 01,KWUN TONG,680850,20025,680850,34,22.3136835,114.2212449,1.0,3.0,20.0
Millennium City 1 - Tower 01,KWUN TONG,680850,20025,680850,34,22.3136835,114.2212449,1.0,3.0,20.0
Millennium City 1 - Tower 01,KWUN TONG,680850,20025,680850,34,22.3136835,114.2212449,1.0,3.0,20.0
China Hong Kong City - Tower 6,TSIM SHA TSUI,678840,22628,678840,30,22.3008733,114.1679008,0.0,5.0,15.0
Hopewell Centre,WAN CHAI,675200,6752,675200,100,22.2746386,114.1717253,3.0,10.0,20.0
New World Tower 1,CENTRAL,667550,10270,667550,65,22.280329,114.1568538,6.0,11.0,20.0
Central Crossing,CENTRAL,657138,10599,657138,62,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,657138,10599,657138,62,22.283431,114.1541085,11.0,13.0,20.0
One Island South,WONG CHUK HANG,656656,29848,656656,22,22.2459198,114.1664957,0.0,1.0,3.0
Hopewell Centre,WAN CHAI,655836,15252,655836,43,22.2746386,114.1717253,3.0,10.0,20.0
Hopewell Centre,WAN CHAI,655836,15252,655836,43,22.2746386,114.1717253,3.0,10.0,20.0
Hopewell Centre,WAN CHAI,655836,15252,655836,43,22.2746386,114.1717253,3.0,10.0,20.0
Central Plaza,WAN CHAI,654976,10234,654976,64,22.2799097,114.1737282,0.0,0.0,0.0
Wu Chung House,WAN CHAI,654540,21818,654540,30,22.2742239,114.1728051,3.0,5.0,20.0
Hopewell Centre,WAN CHAI,652826,15182,652826,43,22.2746386,114.1717253,3.0,10.0,20.0
"Nathan Road, 352",JORDAN,648128,17056,648128,38,22.3071255,114.171608,3.0,6.0,20.0
"Nathan Road, 352",JORDAN,648128,17056,648128,38,22.3071255,114.171608,3.0,6.0,20.0
"Nathan Road, 352",JORDAN,648128,17056,648128,38,22.3071255,114.171608,3.0,6.0,20.0
"Nathan Road, 352",JORDAN,648128,17056,648128,38,22.3071255,114.171608,3.0,6.0,20.0
