bldg_name,district,sq_ft,price
Central Tower,CENTRAL,"Central Tower
CENTRAL
Rental: HKD 710,820 / 90 p.s.f.
Size: 7,898 s.f.
Fully Fitted, High Floor, Open View
Prop.#: 2805","710,820"
Cosco Tower,SHEUNG WAN,"Cosco Tower
SHEUNG WAN
Rental: HKD 710,820 / 36 p.s.f.
Size: 19,745 s.f.
Bare Shell, Mid Floor, Partial Seaview
Prop.#: 39496","710,820"
Harcourt House,WAN CHAI,"Harcourt House
WAN CHAI
Rental: HKD 705,894 / 42 p.s.f.
Size: 16,807 s.f.
Bare Shell, Mid Floor, Sea View
Prop.#: 73498","705,894"
Central Plaza,WAN CHAI,"Central Plaza
WAN CHAI
Rental: HKD 703,820 / 52 p.s.f.
Size: 13,535 s.f.
Bare Shell, Low Floor, City View
Prop.#: 74741","703,820"
Tower 535,CAUSEWAY BAY,"Tower 535
CAUSEWAY BAY
Rental: HKD 702,720 / 60 p.s.f.
Size: 11,712 s.f.
Fully Fitted, Mid Floor, Sea View
Prop.#: 68403","702,720"
Punfet Building,MONG KOK / TAI KOK TSUI,"Punfet Building
MONG KOK / TAI KOK TSUI
Rental: HKD 699,197 / 69 p.s.f.
Size: 10,148 s.f.
Bare Shell, City View
Prop.#: 91715","699,197"
Peninsula Centre,TSIM SHA TSUI,"Peninsula Centre
TSIM SHA TSUI
Rental: HKD 693,680 / 23 p.s.f.
Size: 30,160 s.f.
Bare Shell, Low Floor
Prop.#: 82543","693,680"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 688,935 / 65 p.s.f.
Size: 10,599 s.f.
Mid Floor
Prop.#: 91971","688,935"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 688,935 / 65 p.s.f.
Size: 10,599 s.f.
Mid Floor
Prop.#: 91970","688,935"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 688,935 / 65 p.s.f.
Size: 10,599 s.f.
Mid Floor
Prop.#: 91969","688,935"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 688,935 / 65 p.s.f.
Size: 10,599 s.f.
Mid Floor
Prop.#: 91968","688,935"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 688,935 / 65 p.s.f.
Size: 10,599 s.f.
Low Floor
Prop.#: 91967","688,935"
Three Garden Road - Champion Tower,CENTRAL,"Three Garden Road - Champion Tower
CENTRAL
Rental: HKD 682,527 / 93 p.s.f.
Size: 7,339 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 8190","682,527"
Millennium City 1 - Tower 01,KWUN TONG,"Millennium City 1 - Tower 01
KWUN TONG
Rental: HKD 680,850 / 34 p.s.f.
Size: 20,025 s.f.
Fully Fitted, High Floor
Prop.#: 27936","680,850"
Millennium City 1 - Tower 01,KWUN TONG,"Millennium City 1 - Tower 01
KWUN TONG
Rental: HKD 680,850 / 34 p.s.f.
Size: 20,025 s.f.
High Floor
Prop.#: 37328","680,850"
Millennium City 1 - Tower 01,KWUN TONG,"Millennium City 1 - Tower 01
KWUN TONG
Rental: HKD 680,850 / 34 p.s.f.
Size: 20,025 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 41163","680,850"
China Hong Kong City - Tower 6,TSIM SHA TSUI,"China Hong Kong City - Tower 6
TSIM SHA TSUI
Rental: HKD 678,840 / 30 p.s.f.
Size: 22,628 s.f.
Fully Fitted, High Floor, Park View
Prop.#: 87478","678,840"
Hopewell Centre,WAN CHAI,"Hopewell Centre
WAN CHAI
Rental: HKD 675,200 / 100 p.s.f.
Size: 6,752 s.f.
Fully Fitted, Low Floor
Prop.#: 92119","675,200"
