bldg_name,district,sq_ft,price
Capital Centre,WAN CHAI,"Capital Centre
WAN CHAI
Rental: HKD 56,086 / 29 p.s.f.
Price: HKD 48.4M / 25,000 p.s.f.
Size: 1,934 s.f.
Fully Fitted, Low Floor, Sea View
Prop.#: 74729","56,086"
Tai Yip Building,WAN CHAI,"Tai Yip Building
WAN CHAI
Rental: HKD 56,025 / 25 p.s.f.
Size: 2,241 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 60361","56,025"
OfficePlus @Sheung Wan,SHEUNG WAN,"VR TOUR
OfficePlus @Sheung Wan
SHEUNG WAN
Rental: HKD 56,002 / 36 p.s.f.
Size: 1,550 s.f.
Furnished, Low Floor, City View
Prop.#: 70707","56,002"
Admiralty Centre - Tower 1,ADMIRALTY,"Admiralty Centre - Tower 1
ADMIRALTY
Rental: HKD 56,000 / 40 p.s.f.
Size: 1,400 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 43243","56,000"
"Hennessy Road, 369",WAN CHAI,"Hennessy Road, 369
WAN CHAI
Rental: HKD 56,000 / 40 p.s.f.
Size: 1,400 s.f.
Bare Shell, Low Floor, City View
Prop.#: 87871","56,000"
Stanley 11,CENTRAL,"Stanley 11
CENTRAL
Rental: HKD 55,920 / 40 p.s.f.
Size: 1,398 s.f.
Bare Shell, High Floor, City View
Prop.#: 48689","55,920"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 55,890 / 27 p.s.f.
Size: 2,070 s.f.
Partially Fitted, City View
Prop.#: 91805","55,890"
Admiralty Centre - Tower 1,ADMIRALTY,"Admiralty Centre - Tower 1
ADMIRALTY
Rental: HKD 55,860 / 38 p.s.f.
Price: HKD 21.3M / 14,500 p.s.f.
Size: 1,470 s.f.
Partially Fitted, City View
Prop.#: 89965","55,860"
Kai Tak Commercial Building,SHEUNG WAN,"Kai Tak Commercial Building
SHEUNG WAN
Rental: HKD 55,854 / 29 p.s.f.
Size: 1,926 s.f.
Bare Shell, High Floor, Partial Seaview
Prop.#: 82122","55,854"
Lippo Centre - Tower 2,ADMIRALTY,"Lippo Centre - Tower 2
ADMIRALTY
Rental: HKD 55,840 / 40 p.s.f.
Price: HKD 27.9M / 20,000 p.s.f.
Size: 1,396 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 51497","55,840"
The Centrium,CENTRAL,"The Centrium
CENTRAL
Rental: HKD 55,784 / 38 p.s.f.
Size: 1,468 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 23195","55,784"
Hang Lung Centre,CAUSEWAY BAY,"Hang Lung Centre
CAUSEWAY BAY
Rental: HKD 55,770 / 55 p.s.f.
Size: 1,014 s.f.
Bare Shell, Mid Floor
Prop.#: 87630","55,770"
Chinachem Exchange Square,QUARRY BAY,"Chinachem Exchange Square
QUARRY BAY
Rental: HKD 55,718 / 26 p.s.f.
Size: 2,143 s.f.
Fully Fitted, Low Floor, Sea View
Prop.#: 20674","55,718"
C C Wu Building,WAN CHAI,"C C Wu Building
WAN CHAI
Rental: HKD 55,709 / 29 p.s.f.
Size: 1,921 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 51339","55,709"
Two Chinachem Plaza,SHEUNG WAN,"Two Chinachem Plaza
SHEUNG WAN
Rental: HKD 55,680 / 40 p.s.f.
Size: 1,392 s.f.
Fully Fitted, High Floor, City View
Prop.#: 46651","55,680"
Legend Tower,KWUN TONG,"Legend Tower
KWUN TONG
Rental: HKD 55,540 / 20 p.s.f.
Price: HKD 36.1M / 13,000 p.s.f.
Size: 2,777 s.f.
Fully Fitted, Open View
Prop.#: 54924","55,540"
Kai Tak Commercial Building,SHEUNG WAN,"Kai Tak Commercial Building
SHEUNG WAN
Rental: HKD 55,524 / 28 p.s.f.
Size: 1,983 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 71742","55,524"
Capitol Centre - Block 2,CAUSEWAY BAY,"Capitol Centre - Block 2
CAUSEWAY BAY
Rental: HKD 55,512 / 27 p.s.f.
Size: 2,056 s.f.
Bare Shell, Low Floor, City View
Prop.#: 26621","55,512"
Millennium City 6,KWUN TONG,"Millennium City 6
KWUN TONG
Rental: HKD 55,350 / 27 p.s.f.
Size: 2,050 s.f.
Partially Fitted, Mid Floor
Prop.#: 74124","55,350"
Bank of America Tower,CENTRAL,"Bank of America Tower
CENTRAL
Rental: HKD 55,314 / 42 p.s.f.
Size: 1,317 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 25472","55,314"
Grand Millennium Plaza,SHEUNG WAN,"Grand Millennium Plaza
SHEUNG WAN
Rental: HKD 55,020 / 35 p.s.f.
Size: 1,572 s.f.
Bare Shell, City View
Prop.#: 91447","55,020"
Wyndham Place,CENTRAL,"Wyndham Place
CENTRAL
Rental: HKD 55,002 / 26 p.s.f.
Size: 2,085 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 85476","55,002"
Hoseinee House,CENTRAL,"Hoseinee House
CENTRAL
Rental: HKD 55,000 / 24 p.s.f.
Size: 2,285 s.f.
Bare Shell, Low Floor, City View
Prop.#: 52205","55,000"
Kolling Centre,TSIM SHA TSUI,"Kolling Centre
TSIM SHA TSUI
Rental: HKD 54,995 / 29 p.s.f.
Size: 1,899 s.f.
Bare Shell, Low Floor, City View
Prop.#: 81037","54,995"
Mirror Tower,TSIM SHA TSUI,"Mirror Tower
TSIM SHA TSUI
Rental: HKD 54,995 / 32 p.s.f.
Size: 1,700 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 17678","54,995"
Mirror Tower,TSIM SHA TSUI,"Mirror Tower
TSIM SHA TSUI
Rental: HKD 54,993 / 33 p.s.f.
Size: 1,670 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 42880","54,993"
Guangdong Tours Centre,CAUSEWAY BAY,"Guangdong Tours Centre
CAUSEWAY BAY
Rental: HKD 54,992 / 35 p.s.f.
Size: 1,588 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 49101","54,992"
South Seas Centre - Tower 2,TSIM SHA TSUI,"South Seas Centre - Tower 2
TSIM SHA TSUI
Rental: HKD 54,975 / 25 p.s.f.
Size: 2,199 s.f.
Bare Shell, Low Floor, City View
Prop.#: 39585","54,975"
Energy Plaza,TSIM SHA TSUI,"Energy Plaza
TSIM SHA TSUI
Rental: HKD 54,875 / 25 p.s.f.
Size: 2,195 s.f.
Fully Fitted, Mid Floor, Open View
Prop.#: 59854","54,875"
Workington Tower,SHEUNG WAN,"Workington Tower
SHEUNG WAN
Rental: HKD 54,744 / 24 p.s.f.
Size: 2,281 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 16339","54,744"
Workington Tower,SHEUNG WAN,"Workington Tower
SHEUNG WAN
Rental: HKD 54,744 / 24 p.s.f.
Size: 2,281 s.f.
Fully Fitted, High Floor, City View
Prop.#: 4633","54,744"
Delta House,SHATIN / FO TAN,"Delta House
SHATIN / FO TAN
Rental: HKD 54,701 / 19 p.s.f.
Size: 2,879 s.f.
Fully Fitted, Low Floor
Prop.#: 76935","54,701"
Crawford House,CENTRAL,"Crawford House
CENTRAL
Rental: HKD 54,684 / 63 p.s.f.
Size: 868 s.f.
Bare Shell, High Floor, City View
Prop.#: 91696","54,684"
Bowtie Life Insurance Tower,WAN CHAI,"Bowtie Life Insurance Tower
WAN CHAI
Rental: HKD 54,600 / 42 p.s.f.
Size: 1,300 s.f.
High Floor, City View
Prop.#: 91569","54,600"
K11 Atelier King's Road,QUARRY BAY,"K11 Atelier King's Road
QUARRY BAY
Rental: HKD 54,585 / 45 p.s.f.
Size: 1,213 s.f.
High Floor
Prop.#: 91799","54,585"
China Hong Kong City - Tower 2,TSIM SHA TSUI,"China Hong Kong City - Tower 2
TSIM SHA TSUI
Rental: HKD 54,516 / 28 p.s.f.
Size: 1,947 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 841","54,516"
China Hong Kong City - Tower 2,TSIM SHA TSUI,"China Hong Kong City - Tower 2
TSIM SHA TSUI
Rental: HKD 54,516 / 28 p.s.f.
Size: 1,947 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 4188","54,516"
Tern Centre - Block 1,SHEUNG WAN,"Tern Centre - Block 1
SHEUNG WAN
Rental: HKD 54,500 / 25 p.s.f.
Price: HKD 18.5M / 8,500 p.s.f.
Size: 2,180 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 14354","54,500"
1 Lyndhurst Tower,CENTRAL,"1 Lyndhurst Tower
CENTRAL
Rental: HKD 54,470 / 26 p.s.f.
Size: 2,095 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 69501","54,470"
Marina 8,WONG CHUK HANG,"Marina 8
WONG CHUK HANG
Rental: HKD 54,444 / 26 p.s.f.
Size: 2,094 s.f.
High Floor
Prop.#: 92015","54,444"
Lee Garden Six (111 Leighton Road),CAUSEWAY BAY,"Lee Garden Six (111 Leighton Road)
CAUSEWAY BAY
Rental: HKD 54,270 / 45 p.s.f.
Size: 1,206 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 55275","54,270"
Bowtie Life Insurance Tower,WAN CHAI,"Bowtie Life Insurance Tower
WAN CHAI
Rental: HKD 54,250 / 35 p.s.f.
Size: 1,550 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 91237","54,250"
Bowtie Life Insurance Tower,WAN CHAI,"Bowtie Life Insurance Tower
WAN CHAI
Rental: HKD 54,250 / 35 p.s.f.
Size: 1,550 s.f.
Fully Fitted, High Floor, City View
Prop.#: 91238","54,250"
Bowtie Life Insurance Tower,WAN CHAI,"Bowtie Life Insurance Tower
WAN CHAI
Rental: HKD 54,250 / 35 p.s.f.
Size: 1,550 s.f.
Fully Fitted, High Floor, City View
Prop.#: 91240","54,250"
Bowtie Life Insurance Tower,WAN CHAI,"Bowtie Life Insurance Tower
WAN CHAI
Rental: HKD 54,250 / 35 p.s.f.
Size: 1,550 s.f.
Fully Fitted, High Floor, City View
Prop.#: 91244","54,250"
Bowtie Life Insurance Tower,WAN CHAI,"Bowtie Life Insurance Tower
WAN CHAI
Rental: HKD 54,250 / 35 p.s.f.
Size: 1,550 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 91235","54,250"
Bowtie Life Insurance Tower,WAN CHAI,"Bowtie Life Insurance Tower
WAN CHAI
Rental: HKD 54,250 / 35 p.s.f.
Size: 1,550 s.f.
Fully Fitted, High Floor, Open View
Prop.#: 3861","54,250"
The Phoenix,WAN CHAI,"The Phoenix
WAN CHAI
Rental: HKD 54,150 / 30 p.s.f.
Size: 1,805 s.f.
Fully Fitted, Mid Floor
Prop.#: 90588","54,150"
Island Place Tower,NORTH POINT,"Island Place Tower
NORTH POINT
Rental: HKD 54,096 / 42 p.s.f.
Size: 1,288 s.f.
Furnished, High Floor, Mountain View
Prop.#: 84894","54,096"
Wing On Plaza,TSIM SHA TSUI,"Wing On Plaza
TSIM SHA TSUI
Rental: HKD 54,040 / 40 p.s.f.
Size: 1,351 s.f.
Fully Fitted, Mid Floor, Sea View
Prop.#: 81934","54,040"
Park Commercial Centre,CAUSEWAY BAY,"Park Commercial Centre
CAUSEWAY BAY
Rental: HKD 54,030 / 30 p.s.f.
Size: 1,801 s.f.
Partially Fitted, Mid Floor
Prop.#: 11665","54,030"
"Chinese Bank Building, The",CENTRAL,"Chinese Bank Building, The
CENTRAL
Rental: HKD 54,020 / 37 p.s.f.
Size: 1,460 s.f.
Fully Fitted, High Floor, City View
Prop.#: 3543","54,020"
Kuo Wah Building,WAN CHAI,"Kuo Wah Building
WAN CHAI
Rental: HKD 54,000 / 15 p.s.f.
Size: 3,600 s.f.
Fully Fitted, High Floor, City View
Prop.#: 46070","54,000"
"Sea View Estate, Block A",NORTH POINT,"Sea View Estate, Block A
NORTH POINT
Rental: HKD 54,000 / 18 p.s.f.
Size: 3,000 s.f.
Partially Fitted, Mid Floor, Partial Seaview
Prop.#: 6109","54,000"
The Harvest,MONG KOK / TAI KOK TSUI,"The Harvest
MONG KOK / TAI KOK TSUI
Rental: HKD 54,000 / 36 p.s.f.
Size: 1,500 s.f.
Partially Fitted, Low Floor
Prop.#: 91913","54,000"
Hang Shun Commercial Building,TSIM SHA TSUI,"Hang Shun Commercial Building
TSIM SHA TSUI
Rental: HKD 53,993 / 38 p.s.f.
Size: 1,422 s.f.
Fully Fitted, Mid Floor
Prop.#: 91990","53,993"
Landmark South,WONG CHUK HANG,"Landmark South
WONG CHUK HANG
Rental: HKD 53,892 / 27 p.s.f.
Size: 1,996 s.f.
Bare Shell, Mountain View
Prop.#: 90714","53,892"
CNT Tower,WAN CHAI,"CNT Tower
WAN CHAI
Rental: HKD 53,884 / 19 p.s.f.
Size: 2,836 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 22383","53,884"
C C Wu Building,WAN CHAI,"C C Wu Building
WAN CHAI
Rental: HKD 53,788 / 28 p.s.f.
Size: 1,921 s.f.
High Floor
Prop.#: 90819","53,788"
Pacific House,CENTRAL,"Pacific House
CENTRAL
Rental: HKD 53,751 / 57 p.s.f.
Size: 943 s.f.
Bare Shell, Low Floor
Prop.#: 10683","53,751"
Shun Kwong Commercial Building,SHEUNG WAN,"Shun Kwong Commercial Building
SHEUNG WAN
Rental: HKD 53,688 / 24 p.s.f.
Size: 2,237 s.f.
Fully Fitted, Mid Floor, Partial Seaview
Prop.#: 8227","53,688"
Energy Plaza,TSIM SHA TSUI,"Energy Plaza
TSIM SHA TSUI
Rental: HKD 53,650 / 25 p.s.f.
Size: 2,146 s.f.
Bare Shell, Low Floor
Prop.#: 88774","53,650"
East Point Centre,CAUSEWAY BAY,"East Point Centre
CAUSEWAY BAY
Rental: HKD 53,640 / 45 p.s.f.
Size: 1,192 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 16638","53,640"
Great Smart Tower,WAN CHAI,"Great Smart Tower
WAN CHAI
Rental: HKD 53,550 / 18 p.s.f.
Size: 2,975 s.f.
Partially Fitted, Low Floor, City View
Prop.#: 87985","53,550"
The Centrium,CENTRAL,"The Centrium
CENTRAL
Rental: HKD 53,542 / 38 p.s.f.
Size: 1,409 s.f.
Partially Fitted, Mid Floor, City View
Prop.#: 12278","53,542"
Nam Wo Hong Building,SHEUNG WAN,"Nam Wo Hong Building
SHEUNG WAN
Rental: HKD 53,360 / 23 p.s.f.
Size: 2,320 s.f.
Prop.#: 91219","53,360"
Grand Millennium Plaza,SHEUNG WAN,"Grand Millennium Plaza
SHEUNG WAN
Rental: HKD 53,305 / 35 p.s.f.
Size: 1,523 s.f.
Bare Shell, City View
Prop.#: 91451","53,305"
Tsim Sha Tsui Centre - East Tower,TSIM SHA TSUI,"Tsim Sha Tsui Centre - East Tower
TSIM SHA TSUI
Rental: HKD 53,270 / 35 p.s.f.
Size: 1,522 s.f.
Fully Fitted, High Floor, City View
Prop.#: 47319","53,270"
Park Commercial Centre,CAUSEWAY BAY,"Park Commercial Centre
CAUSEWAY BAY
Rental: HKD 53,250 / 30 p.s.f.
Size: 1,775 s.f.
Fully Fitted, Mid Floor, Park View
Prop.#: 789","53,250"
Bangkok Bank Building,SHEUNG WAN,"Bangkok Bank Building
SHEUNG WAN
Rental: HKD 53,199 / 23 p.s.f.
Size: 2,313 s.f.
Bare Shell, High Floor, City View
Prop.#: 49694","53,199"
Mall Plus,WAN CHAI,"Mall Plus
WAN CHAI
Rental: HKD 53,100 / 90 p.s.f.
Size: 590 s.f.
Bare Shell
Prop.#: 81968","53,100"
Hart House,TSIM SHA TSUI,"Hart House
TSIM SHA TSUI
Rental: HKD 53,006 / 30 p.s.f.
Size: 1,761 s.f.
Low Floor
Prop.#: 90980","53,006"
Chung Fung Commercial Building,TSIM SHA TSUI,"Chung Fung Commercial Building
TSIM SHA TSUI
Rental: HKD 53,003 / 41 p.s.f.
Size: 1,301 s.f.
Partially Fitted, High Floor, City View
Prop.#: 76486","53,003"
Winning Centre,CENTRAL,"Winning Centre
CENTRAL
Rental: HKD 53,000 / 27 p.s.f.
Size: 2,000 s.f.
Mid Floor, City View
Prop.#: 41573","53,000"
Winning Centre,CENTRAL,"Winning Centre
CENTRAL
Rental: HKD 52,999 / 53 p.s.f.
Size: 991 s.f.
Fully Fitted, High Floor, Open View
Prop.#: 53738","52,999"
Tai Tung Building,WAN CHAI,"Tai Tung Building
WAN CHAI
Rental: HKD 52,904 / 34 p.s.f.
Size: 1,556 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 12619","52,904"
Two Chinachem Plaza,SHEUNG WAN,"Two Chinachem Plaza
SHEUNG WAN
Rental: HKD 52,896 / 38 p.s.f.
Size: 1,392 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 1058","52,896"
Two Chinachem Plaza,SHEUNG WAN,"Two Chinachem Plaza
SHEUNG WAN
Rental: HKD 52,896 / 38 p.s.f.
Size: 1,392 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 91742","52,896"
"Harbourfront, Two",HUNG HOM / TO KWA WAN,"Harbourfront, Two
HUNG HOM / TO KWA WAN
Rental: HKD 52,870 / 34 p.s.f.
Size: 1,555 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 72985","52,870"
Wellington Place/M88,CENTRAL,"Wellington Place/M88
CENTRAL
Rental: HKD 52,800 / 40 p.s.f.
Size: 1,320 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 72441","52,800"
"Cheung Sha Wan Road, 909",CHEUNG SHA WAN / LAI CHI KOK,"Cheung Sha Wan Road, 909
CHEUNG SHA WAN / LAI CHI KOK
Rental: HKD 52,770 / 30 p.s.f.
Size: 1,759 s.f.
Mid Floor, Open View
Prop.#: 41206","52,770"
Tai Yau Building,WAN CHAI,"Tai Yau Building
WAN CHAI
Rental: HKD 52,680 / 30 p.s.f.
Size: 1,756 s.f.
Partially Fitted
Prop.#: 90142","52,680"
Tai Yau Building,WAN CHAI,"Tai Yau Building
WAN CHAI
Rental: HKD 52,680 / 30 p.s.f.
Size: 1,756 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 26914","52,680"
"Kodak House, Block 2",NORTH POINT,"Kodak House, Block 2
NORTH POINT
Rental: HKD 52,596 / 12 p.s.f.
Size: 4,383 s.f.
Fully Fitted, Mid Floor, Open View
Prop.#: 17681","52,596"
Times Square - Tower 2,CAUSEWAY BAY,"Times Square - Tower 2
CAUSEWAY BAY
Rental: HKD 52,593 / 47 p.s.f.
Size: 1,119 s.f.
Fully Fitted, High Floor, City View
Prop.#: 70058","52,593"
Grand Century Place - Tower I,MONG KOK / TAI KOK TSUI,"Grand Century Place - Tower I
MONG KOK / TAI KOK TSUI
Rental: HKD 52,560 / 36 p.s.f.
Size: 1,460 s.f.
Fully Fitted, Low Floor, Open View
Prop.#: 38106","52,560"
Ocean Centre,TSIM SHA TSUI,"Ocean Centre
TSIM SHA TSUI
Rental: HKD 52,470 / 30 p.s.f.
Size: 1,749 s.f.
Fully Fitted, Low Floor
Prop.#: 68192","52,470"
Workington Tower,SHEUNG WAN,"Workington Tower
SHEUNG WAN
Rental: HKD 52,463 / 23 p.s.f.
Size: 2,281 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 29044","52,463"
Health Aura,CAUSEWAY BAY,"Health Aura
CAUSEWAY BAY
Rental: HKD 52,400 / 40 p.s.f.
Size: 1,310 s.f.
Bare Shell, Mid Floor
Prop.#: 85362","52,400"
Health Aura,CAUSEWAY BAY,"Health Aura
CAUSEWAY BAY
Rental: HKD 52,400 / 40 p.s.f.
Size: 1,310 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 85363","52,400"
Health Aura,CAUSEWAY BAY,"Health Aura
CAUSEWAY BAY
Rental: HKD 52,400 / 40 p.s.f.
Size: 1,310 s.f.
Bare Shell, High Floor, City View
Prop.#: 85364","52,400"
Health Aura,CAUSEWAY BAY,"Health Aura
CAUSEWAY BAY
Rental: HKD 52,400 / 40 p.s.f.
Size: 1,310 s.f.
Bare Shell, High Floor, City View
Prop.#: 85365","52,400"
Hong Kong Diamond Exchange Building,CENTRAL,"Hong Kong Diamond Exchange Building
CENTRAL
Rental: HKD 52,374 / 43 p.s.f.
Size: 1,218 s.f.
Partially Fitted, High Floor, Mountain View
Prop.#: 80388","52,374"
Pacific House,CENTRAL,"Pacific House
CENTRAL
Rental: HKD 52,326 / 57 p.s.f.
Size: 918 s.f.
Bare Shell, Low Floor
Prop.#: 29783","52,326"
Ashley Nine,TSIM SHA TSUI,"Ashley Nine
TSIM SHA TSUI
Rental: HKD 52,248 / 28 p.s.f.
Size: 1,866 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 15708","52,248"
Teda Building,SHEUNG WAN,"Teda Building
SHEUNG WAN
Rental: HKD 52,224 / 32 p.s.f.
Size: 1,632 s.f.
Partially Fitted, Low Floor, City View
Prop.#: 28756","52,224"
Austin Commercial Centre,TSIM SHA TSUI,"Austin Commercial Centre
TSIM SHA TSUI
Rental: HKD 52,137 / 27 p.s.f.
Price: HKD 15.5M / 8,026 p.s.f.
Size: 1,931 s.f.
Fully Fitted, Low Floor
Prop.#: 41494","52,137"
Tien Chu Commercial Building,WAN CHAI,"Tien Chu Commercial Building
WAN CHAI
Rental: HKD 52,070 / 29 p.s.f.
Size: 1,827 s.f.
Partially Fitted, Low Floor, Partial Seaview
Prop.#: 12911","52,070"
Millennium City 2,KWUN TONG,"Millennium City 2
KWUN TONG
Rental: HKD 52,029 / 27 p.s.f.
Size: 1,927 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 18060","52,029"
"Electric Road, 148",NORTH POINT,"Electric Road, 148
NORTH POINT
Rental: HKD 52,024 / 28 p.s.f.
Size: 1,858 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 51483","52,024"
Beautiful Group Tower,SHEUNG WAN,"Beautiful Group Tower
SHEUNG WAN
Rental: HKD 52,020 / 34 p.s.f.
Size: 1,530 s.f.
Fully Fitted, Mid Floor, Partial Seaview
Prop.#: 20423","52,020"
Westlands Centre,QUARRY BAY,"Westlands Centre
QUARRY BAY
Rental: HKD 52,013 / 22 p.s.f.
Size: 2,408 s.f.
Partially Fitted
Prop.#: 91874","52,013"
Park Avenue Tower,CAUSEWAY BAY,"Park Avenue Tower
CAUSEWAY BAY
Rental: HKD 52,010 / 18 p.s.f.
Size: 2,839 s.f.
Partially Fitted, Mid Floor, City View
Prop.#: 75216","52,010"
Teda Building,SHEUNG WAN,"Teda Building
SHEUNG WAN
Rental: HKD 52,009 / 24 p.s.f.
Price: HKD 20.0M / 9,367 p.s.f.
Size: 2,135 s.f.
Partially Fitted, High Floor, City View
Prop.#: 65351","52,009"
Tern Centre - Block 2,SHEUNG WAN,"Tern Centre - Block 2
SHEUNG WAN
Rental: HKD 52,004 / 28 p.s.f.
Size: 1,826 s.f.
Low Floor, City View
Prop.#: 18554","52,004"
Shun Tak Centre - West Tower,SHEUNG WAN,"Shun Tak Centre - West Tower
SHEUNG WAN
Rental: HKD 52,000 / 37 p.s.f.
Size: 1,402 s.f.
Fully Fitted, High Floor, City View
Prop.#: 2735","52,000"
Fairmont House,CENTRAL,"Fairmont House
CENTRAL
Rental: HKD 52,000 / 40 p.s.f.
Size: 1,300 s.f.
Bare Shell, Low Floor, City View
Prop.#: 22116","52,000"
Tung Wai Commercial Building,WAN CHAI,"Tung Wai Commercial Building
WAN CHAI
Rental: HKD 51,898 / 31 p.s.f.
Size: 1,685 s.f.
Bare Shell, High Floor, Partial Seaview
Prop.#: 10396","51,898"
Houston Centre,TSIM SHA TSUI,"Houston Centre
TSIM SHA TSUI
Rental: HKD 51,888 / 24 p.s.f.
Price: HKD 25.9M / 12,000 p.s.f.
Size: 2,162 s.f.
Fully Fitted, Low Floor, Partial Seaview
Prop.#: 79361","51,888"
Shun Hei Causeway Bay Centre,CAUSEWAY BAY,"Shun Hei Causeway Bay Centre
CAUSEWAY BAY
Rental: HKD 51,801 / 31 p.s.f.
Size: 1,671 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 28928","51,801"
"Chinachem Exchange Square, Two",NORTH POINT,"Chinachem Exchange Square, Two
NORTH POINT
Rental: HKD 51,750 / 25 p.s.f.
Size: 2,070 s.f.
Bare Shell, High Floor, Partial Seaview
Prop.#: 8681","51,750"
Century Square,CENTRAL,"Century Square
CENTRAL
Rental: HKD 51,700 / 50 p.s.f.
Size: 1,034 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 9154","51,700"
Albion Plaza,TSIM SHA TSUI,"Albion Plaza
TSIM SHA TSUI
Rental: HKD 51,660 / 41 p.s.f.
Size: 1,260 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 10476","51,660"
Hon Kwok Jordan Centre,TSIM SHA TSUI,"Hon Kwok Jordan Centre
TSIM SHA TSUI
Rental: HKD 51,576 / 28 p.s.f.
Size: 1,842 s.f.
Bare Shell, Mid Floor
Prop.#: 57505","51,576"
Winway Building,CENTRAL,"Winway Building
CENTRAL
Rental: HKD 51,447 / 33 p.s.f.
Size: 1,559 s.f.
Fully Fitted, City View
Prop.#: 91579","51,447"
"Gateway, The - Tower 2",TSIM SHA TSUI,"Gateway, The - Tower 2
TSIM SHA TSUI
Rental: HKD 51,428 / 46 p.s.f.
Size: 1,118 s.f.
Bare Shell, High Floor, Park View
Prop.#: 88570","51,428"
Lippo Leighton Tower,CAUSEWAY BAY,"Lippo Leighton Tower
CAUSEWAY BAY
Rental: HKD 51,428 / 26 p.s.f.
Size: 1,978 s.f.
Fully Fitted, Mid Floor, Open View
Prop.#: 19706","51,428"
The Plaza,CENTRAL,"The Plaza
CENTRAL
Rental: HKD 51,400 / 50 p.s.f.
Size: 1,028 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 74566","51,400"
Universal Trade Centre,CENTRAL,"VR TOUR
Universal Trade Centre
CENTRAL
Rental: HKD 51,328 / 25 p.s.f.
Size: 2,095 s.f.
Partially Fitted, High Floor, Open View
Prop.#: 8049","51,328"
Ocean Centre,TSIM SHA TSUI,"Ocean Centre
TSIM SHA TSUI
Rental: HKD 51,312 / 48 p.s.f.
Size: 1,069 s.f.
Fully Fitted, High Floor, City View
Prop.#: 9192","51,312"
Regent Centre,CENTRAL,"Regent Centre
CENTRAL
Rental: HKD 51,150 / 33 p.s.f.
Size: 1,550 s.f.
Prop.#: 91312","51,150"
Wayson Commercial Building,SHEUNG WAN,"Wayson Commercial Building
SHEUNG WAN
Rental: HKD 51,150 / 22 p.s.f.
Price: HKD 17.4M / 7,501 p.s.f.
Size: 2,325 s.f.
Fully Fitted, Low Floor, Partial Seaview
Prop.#: 40917","51,150"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 51,125 / 25 p.s.f.
Size: 2,045 s.f.
Bare Shell, City View
Prop.#: 29819","51,125"
Capitol Centre - Block 1,CAUSEWAY BAY,"Capitol Centre - Block 1
CAUSEWAY BAY
Rental: HKD 51,120 / 36 p.s.f.
Size: 1,420 s.f.
Bare Shell, Low Floor
Prop.#: 73571","51,120"
K11 Atelier King's Road,QUARRY BAY,"K11 Atelier King's Road
QUARRY BAY
Rental: HKD 50,985 / 45 p.s.f.
Size: 1,133 s.f.
Low Floor
Prop.#: 82912","50,985"
Blissful Building,SHEUNG WAN,"Blissful Building
SHEUNG WAN
Rental: HKD 50,908 / 26 p.s.f.
Size: 1,958 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 66591","50,908"
Concordia Plaza,TSIM SHA TSUI,"Concordia Plaza
TSIM SHA TSUI
Rental: HKD 50,882 / 26 p.s.f.
Size: 1,957 s.f.
Fully Fitted, Mid Floor, Open View
Prop.#: 9668","50,882"
